Serial No,Name,Student ID,Date of Incident,Place of Incident,Program/Course,Term,Incident Category,Status,Email
21,William Patel,500134574,2021-06-21,On Campus,Computer Systems Technician,1,Other,In Progress,william.patel@loyalistcollege.com
22,Ashley Arnold,500742539,2023-08-11,Off Campus,Quality Engineering Management,4,Suggestion/ Feedback,In Progress,ashley.arnold@loyalistcollege.com
23,Kimberly Olsen,500788557,2022-07-09,On Co-op/Placement,Wireless Information Networking,3,Lost and Found,Not Relevant Complaint,kimberly.olsen@loyalistcollege.com
24,Tracey Morrison,500372688,2021-09-15,Applied Industry Project,Artificial Intelligence and Data Science,2,Other,In Progress,tracey.morrison@loyalistcollege.com
25,Jill Carlson,500599678,2021-02-18,Moodle / E- Learning,Global Business Management,1,Inquiry,Not Relevant Complaint,jill.carlson@loyalistcollege.com
26,Paul Reddy,500172441,2022-10-31,Moodle / E- Learning,Artificial Intelligence and Data Science,4,Suggestion/ Feedback,In Progress,paul.reddy@loyalistcollege.com
27,Donna Lopez,500194187,2023-06-15,Off Campus,Computer Systems Technician,3,Inquiry,Not Resolved,donna.lopez@loyalistcollege.com
28,Lonnie Douglas,500811693,2022-09-11,In Class,Supply Chain Management,2,Inquiry,Not Resolved,lonnie.douglas@loyalistcollege.com
29,Brandon Todd,500894405,2022-12-22,In Class,Business,2,Suggestion/ Feedback,Not Relevant Complaint,brandon.todd@loyalistcollege.com
30,Tammy Kirby,500236550,2021-04-29,On Co-op/Placement,Business Sales and Marketing,1,Other,Not Resolved,tammy.kirby@loyalistcollege.com
31,Rachael Kumar,500256814,2021-05-01,In Class,Computer Software and Database Development,2,Inquiry,In Progress,rachael.kumar@loyalistcollege.com
32,Kimberly Myers,500140518,2022-10-23,In Class,Artificial Intelligence and Data Science,1,Lost and Found,Not Resolved,kimberly.myers@loyalistcollege.com
33,Desiree Cain,500983383,2023-04-27,On Campus,Wireless Information Networking,4,Other,Not Relevant Complaint,desiree.cain@loyalistcollege.com
34,Stephanie Lawrence,500184146,2023-05-11,On Campus,Supply Chain Management,4,Other,Resolved,stephanie.lawrence@loyalistcollege.com
35,Lauren Hayes,500833293,2021-08-03,In Class,Supply Chain Management,3,Other,Resolved,lauren.hayes@loyalistcollege.com
36,Donna Gupta,500969647,2021-09-20,Applied Industry Project,Business Sales and Marketing,3,Other,In Progress,donna.gupta@loyalistcollege.com
37,Sydney Leon MD,500666860,2021-08-26,In Class,Computer Systems Technician,3,Inquiry,Not Resolved,sydney.leon.md@loyalistcollege.com
38,Katelyn Mccoy,500816700,2021-11-19,Off Campus,Quality Engineering Management,1,Other,Resolved,katelyn.mccoy@loyalistcollege.com
39,Dana Dennis,500510303,2021-09-13,Applied Industry Project,Cloud Computing,4,Suggestion/ Feedback,In Progress,dana.dennis@loyalistcollege.com
40,Daniel Norton,500978565,2021-12-21,On Campus,Quality Engineering Management,3,Other,Resolved,daniel.norton@loyalistcollege.com
41,Marvin Gupta,500839543,2021-02-16,On Campus,Business,3,Inquiry,Resolved,marvin.gupta@loyalistcollege.com
42,Ashlee Thomas,500650055,2023-03-28,Moodle / E- Learning,Wireless Information Networking,3,Suggestion/ Feedback,Not Relevant Complaint,ashlee.thomas@loyalistcollege.com
43,Amber Berry,500389023,2021-07-30,Off Campus,Hospitality Management,3,Lost and Found,Not Relevant Complaint,amber.berry@loyalistcollege.com
44,Kimberly Becker,500647136,2023-02-05,Applied Industry Project,Cyber Security,2,Lost and Found,Resolved,kimberly.becker@loyalistcollege.com
45,Mark Obrien,500951054,2022-07-09,On Co-op/Placement,Cloud Computing,4,Other,Resolved,mark.obrien@loyalistcollege.com
46,Barbara Singh,500346941,2023-08-27,Off Campus,Cyber Security,2,Suggestion/ Feedback,Not Resolved,barbara.singh@loyalistcollege.com
47,Jacob Hooper,500990750,2022-03-24,On Co-op/Placement,Computer Software and Database Development,1,Other,Not Relevant Complaint,jacob.hooper@loyalistcollege.com
48,Alex Woodward,500325654,2022-06-05,On Co-op/Placement,Global Business Management,2,Inquiry,In Progress,alex.woodward@loyalistcollege.com
49,Caleb Clark,500812480,2021-07-04,In Class,Global Project Management,4,Other,Not Resolved,caleb.clark@loyalistcollege.com
50,Taylor Johnson,500718451,2022-09-28,On Co-op/Placement,Artificial Intelligence and Data Science,3,Lost and Found,Resolved,taylor.johnson@loyalistcollege.com
51,Ronald Singh,500965351,2022-02-11,In Class,Supply Chain Management,4,Lost and Found,Not Relevant Complaint,ronald.singh@loyalistcollege.com
52,David Walker,500539797,2021-09-03,Moodle / E- Learning,Wireless Information Networking,1,Other,Not Relevant Complaint,david.walker@loyalistcollege.com
53,Hayley White,500707854,2022-06-17,On Co-op/Placement,Hospitality Management,4,Lost and Found,Not Relevant Complaint,hayley.white@loyalistcollege.com
54,Amanda Garcia,500388579,2023-02-19,On Co-op/Placement,Supply Chain Management,2,Suggestion/ Feedback,In Progress,amanda.garcia@loyalistcollege.com
55,Christina Howard PhD,500572449,2022-05-31,In Class,Supply Chain Management,1,Inquiry,Not Relevant Complaint,christina.howard.phd@loyalistcollege.com
56,Mary Reddy,500616586,2023-04-09,Moodle / E- Learning,Hospitality Management,3,Suggestion/ Feedback,In Progress,mary.reddy@loyalistcollege.com
57,Caroline Chambers,500792317,2021-08-13,Off Campus,Wireless Information Networking,2,Inquiry,Not Resolved,caroline.chambers@loyalistcollege.com
58,Amy Lowe,500772343,2022-08-08,On Campus,Global Business Management,2,Lost and Found,Not Resolved,amy.lowe@loyalistcollege.com
59,Gloria King,500834239,2023-05-13,Applied Industry Project,Quality Engineering Management,3,Inquiry,In Progress,gloria.king@loyalistcollege.com
60,Jessica Thompson,500931861,2022-04-20,On Co-op/Placement,Global Project Management,4,Suggestion/ Feedback,Not Relevant Complaint,jessica.thompson@loyalistcollege.com
61,Thomas Gupta,500474727,2021-12-31,On Co-op/Placement,Global Project Management,1,Lost and Found,Resolved,thomas.gupta@loyalistcollege.com
62,Keith Romero,500186374,2022-08-12,Off Campus,Cloud Computing,2,Inquiry,Not Resolved,keith.romero@loyalistcollege.com
63,Howard Monroe,500440079,2022-06-23,Off Campus,Wireless Information Networking,2,Lost and Found,Not Relevant Complaint,howard.monroe@loyalistcollege.com
64,Justin Smith,500742549,2022-08-30,Off Campus,Global Project Management,3,Lost and Found,Resolved,justin.smith@loyalistcollege.com
65,Gabriella Williams,500220952,2023-01-03,On Co-op/Placement,Computer Systems Technician,2,Other,Resolved,gabriella.williams@loyalistcollege.com
66,Juan Reddy,500610073,2023-03-06,On Co-op/Placement,Computer Software and Database Development,4,Lost and Found,Not Resolved,juan.reddy@loyalistcollege.com
67,Troy Bell,500715592,2022-04-21,On Campus,Cloud Computing,1,Inquiry,Resolved,troy.bell@loyalistcollege.com
68,Ian Arroyo,500760757,2022-09-30,In Class,Artificial Intelligence and Data Science,4,Lost and Found,Not Resolved,ian.arroyo@loyalistcollege.com
69,Lisa Baldwin,500451556,2022-09-24,Moodle / E- Learning,Artificial Intelligence and Data Science,2,Inquiry,Not Resolved,lisa.baldwin@loyalistcollege.com
70,Jason Curtis,500986128,2021-06-01,In Class,Artificial Intelligence and Data Science,4,Lost and Found,Not Resolved,jason.curtis@loyalistcollege.com
71,Aaron Kumar,500299626,2021-08-28,Moodle / E- Learning,Business Sales and Marketing,1,Other,Not Resolved,aaron.kumar@loyalistcollege.com
72,George Allen,500354841,2021-08-18,On Campus,Computer Software and Database Development,2,Inquiry,In Progress,george.allen@loyalistcollege.com
73,Jamie Hutchinson,500116996,2021-01-08,Applied Industry Project,Artificial Intelligence and Data Science,2,Lost and Found,Not Resolved,jamie.hutchinson@loyalistcollege.com
74,Jennifer Morales,500867022,2023-06-26,On Co-op/Placement,Cloud Computing,4,Other,Not Relevant Complaint,jennifer.morales@loyalistcollege.com
75,Jennifer Bates,500384203,2023-07-15,On Co-op/Placement,Supply Chain Management,1,Lost and Found,Not Relevant Complaint,jennifer.bates@loyalistcollege.com
76,Brandon Sharma,500222824,2023-03-15,Applied Industry Project,Artificial Intelligence and Data Science,4,Inquiry,Not Relevant Complaint,brandon.sharma@loyalistcollege.com
77,David Moore,500839595,2021-06-15,Applied Industry Project,Business Sales and Marketing,4,Inquiry,Not Resolved,david.moore@loyalistcollege.com
78,Katelyn Hoffman,500331169,2021-11-15,In Class,Business,3,Inquiry,Resolved,katelyn.hoffman@loyalistcollege.com
79,Stacey Simpson,500490133,2023-07-15,Off Campus,Cyber Security,3,Other,In Progress,stacey.simpson@loyalistcollege.com
80,John Lamb,500933180,2023-07-26,Applied Industry Project,Global Business Management,4,Other,Not Resolved,john.lamb@loyalistcollege.com
81,Nancy Kumar,500278763,2023-03-09,Applied Industry Project,Supply Chain Management,3,Other,Not Relevant Complaint,nancy.kumar@loyalistcollege.com
82,Chelsea Key,500448689,2021-06-22,Off Campus,Computer Systems Technician,3,Lost and Found,In Progress,chelsea.key@loyalistcollege.com
83,Angela Swanson,500546830,2022-02-19,Off Campus,Quality Engineering Management,1,Other,Not Resolved,angela.swanson@loyalistcollege.com
84,Mrs. Meghan Stewart,500955546,2023-08-13,Off Campus,Global Business Management,3,Inquiry,In Progress,mrs..meghan.stewart@loyalistcollege.com
85,Mitchell Smith,500165213,2021-09-19,In Class,Hospitality Management,1,Other,Not Relevant Complaint,mitchell.smith@loyalistcollege.com
86,Mackenzie Sharma,500205494,2022-08-07,On Campus,Computer Systems Technician,4,Lost and Found,Not Resolved,mackenzie.sharma@loyalistcollege.com
87,Anne Wilson,500921159,2021-05-13,Moodle / E- Learning,Global Project Management,1,Suggestion/ Feedback,Not Resolved,anne.wilson@loyalistcollege.com
88,Shelly Ramirez,500253467,2021-02-25,On Campus,Computer Systems Technician,3,Lost and Found,Not Relevant Complaint,shelly.ramirez@loyalistcollege.com
89,Ariel Nash,500996870,2021-01-17,On Campus,Computer Software and Database Development,2,Suggestion/ Feedback,In Progress,ariel.nash@loyalistcollege.com
90,Brad Hill,500831560,2021-06-29,Applied Industry Project,Quality Engineering Management,4,Suggestion/ Feedback,Resolved,brad.hill@loyalistcollege.com
91,Shawn Reddy,500329400,2022-07-17,Moodle / E- Learning,Business,4,Suggestion/ Feedback,Not Relevant Complaint,shawn.reddy@loyalistcollege.com
92,Shannon Anderson,500147431,2023-01-17,Applied Industry Project,Quality Engineering Management,4,Other,Not Relevant Complaint,shannon.anderson@loyalistcollege.com
93,Marilyn Reed,500956812,2022-05-10,In Class,Business,4,Inquiry,Not Resolved,marilyn.reed@loyalistcollege.com
94,Diana Smith,500701742,2021-06-17,In Class,Cyber Security,1,Lost and Found,Not Relevant Complaint,diana.smith@loyalistcollege.com
95,Michael Grant,500765013,2022-12-05,Off Campus,Computer Software and Database Development,4,Suggestion/ Feedback,In Progress,michael.grant@loyalistcollege.com
96,Stacey Sharma,500660147,2022-07-28,Off Campus,Computer Software and Database Development,3,Lost and Found,In Progress,stacey.sharma@loyalistcollege.com
97,Susan Williams,500731421,2023-06-27,On Campus,Hospitality Management,2,Lost and Found,In Progress,susan.williams@loyalistcollege.com
98,Meredith Rios,500813649,2022-01-30,Off Campus,Global Project Management,3,Suggestion/ Feedback,In Progress,meredith.rios@loyalistcollege.com
99,Stephanie Bowman,500177591,2023-01-26,On Co-op/Placement,Computer Software and Database Development,3,Lost and Found,Not Resolved,stephanie.bowman@loyalistcollege.com
100,Joshua Clark,500127993,2021-12-22,Moodle / E- Learning,Cloud Computing,1,Inquiry,Not Relevant Complaint,joshua.clark@loyalistcollege.com
101,Brenda Singh,500230488,2021-09-05,In Class,Artificial Intelligence and Data Science,4,Inquiry,Resolved,brenda.singh@loyalistcollege.com
102,Chris Cook,500765845,2023-05-23,Moodle / E- Learning,Hospitality Management,4,Other,Resolved,chris.cook@loyalistcollege.com
103,Michelle Morgan,500297678,2023-05-07,Moodle / E- Learning,Artificial Intelligence and Data Science,2,Inquiry,Resolved,michelle.morgan@loyalistcollege.com
104,Amanda Martin,500735791,2021-05-02,On Campus,Computer Systems Technician,1,Suggestion/ Feedback,In Progress,amanda.martin@loyalistcollege.com
105,Mrs. Jennifer Kelley,500970408,2023-03-01,Applied Industry Project,Computer Software and Database Development,1,Inquiry,Not Relevant Complaint,mrs..jennifer.kelley@loyalistcollege.com
106,Kelly Patel,500703930,2021-09-18,Off Campus,Business,3,Other,Not Resolved,kelly.patel@loyalistcollege.com
107,David Williams,500225509,2021-02-10,In Class,Computer Systems Technician,3,Lost and Found,Not Resolved,david.williams@loyalistcollege.com
108,Joseph Jones,500510212,2021-09-17,On Co-op/Placement,Hospitality Management,1,Lost and Found,Not Resolved,joseph.jones@loyalistcollege.com
109,Gary Perry,500195978,2023-03-15,Off Campus,Computer Software and Database Development,1,Other,Not Resolved,gary.perry@loyalistcollege.com
110,Terry Wells,500488119,2022-09-28,Off Campus,Computer Systems Technician,2,Lost and Found,Resolved,terry.wells@loyalistcollege.com
111,Mary Kumar,500974349,2023-08-03,Off Campus,Computer Systems Technician,1,Other,In Progress,mary.kumar@loyalistcollege.com
112,Gwendolyn Mendoza,500221683,2021-11-20,In Class,Cloud Computing,4,Other,In Progress,gwendolyn.mendoza@loyalistcollege.com
113,Jessica Turner,500138159,2022-11-12,In Class,Supply Chain Management,1,Inquiry,In Progress,jessica.turner@loyalistcollege.com
114,Stephanie Gillespie,500734917,2022-09-22,Off Campus,Wireless Information Networking,3,Other,Not Resolved,stephanie.gillespie@loyalistcollege.com
115,Jaime Villegas,500122687,2022-02-15,On Campus,Wireless Information Networking,1,Suggestion/ Feedback,Resolved,jaime.villegas@loyalistcollege.com
116,Danielle Singh,500304043,2021-02-02,In Class,Cloud Computing,3,Inquiry,Not Resolved,danielle.singh@loyalistcollege.com
117,Bradley Brady,500293957,2023-07-02,In Class,Cloud Computing,4,Other,Resolved,bradley.brady@loyalistcollege.com
118,Adam Long,500852996,2021-07-28,On Co-op/Placement,Hospitality Management,2,Suggestion/ Feedback,In Progress,adam.long@loyalistcollege.com
119,Joan Burns,500229913,2022-08-27,On Co-op/Placement,Global Business Management,3,Other,Resolved,joan.burns@loyalistcollege.com
120,Meghan Henderson,500602512,2021-09-24,On Campus,Cloud Computing,4,Lost and Found,Not Resolved,meghan.henderson@loyalistcollege.com
121,Micheal Reddy,500320805,2022-11-17,Moodle / E- Learning,Global Project Management,2,Suggestion/ Feedback,Not Resolved,micheal.reddy@loyalistcollege.com
122,Debbie Waters MD,500862477,2023-05-28,Applied Industry Project,Computer Software and Database Development,2,Inquiry,Resolved,debbie.waters.md@loyalistcollege.com
123,Austin Boyer,500939643,2021-03-25,In Class,Wireless Information Networking,4,Other,In Progress,austin.boyer@loyalistcollege.com
124,Stephanie Hayes,500164052,2022-08-06,Moodle / E- Learning,Computer Systems Technician,3,Inquiry,Resolved,stephanie.hayes@loyalistcollege.com
125,Barbara Sanders,500812347,2021-05-15,On Co-op/Placement,Artificial Intelligence and Data Science,1,Suggestion/ Feedback,Not Relevant Complaint,barbara.sanders@loyalistcollege.com
126,Jared Kumar,500123889,2023-07-03,Moodle / E- Learning,Cloud Computing,2,Other,Resolved,jared.kumar@loyalistcollege.com
127,Travis Lewis,500670672,2022-09-22,Applied Industry Project,Hospitality Management,2,Other,Not Relevant Complaint,travis.lewis@loyalistcollege.com
128,Craig Gray,500546293,2022-06-04,On Campus,Business,2,Lost and Found,Not Relevant Complaint,craig.gray@loyalistcollege.com
129,Brittany Hinton,500750746,2021-12-29,Off Campus,Artificial Intelligence and Data Science,4,Other,Not Resolved,brittany.hinton@loyalistcollege.com
130,Mrs. Jennifer Frazier,500206430,2023-02-27,Off Campus,Global Project Management,1,Lost and Found,Not Resolved,mrs..jennifer.frazier@loyalistcollege.com
131,Natalie Kaur,500976507,2022-12-09,In Class,Global Project Management,1,Other,Resolved,natalie.kaur@loyalistcollege.com
132,Thomas Morris MD,500372545,2021-03-02,In Class,Wireless Information Networking,4,Other,Not Relevant Complaint,thomas.morris.md@loyalistcollege.com
133,Mr. Dakota Lynch II,500173404,2023-01-16,On Co-op/Placement,Global Project Management,2,Inquiry,Not Relevant Complaint,mr..dakota.lynch.ii@loyalistcollege.com
134,Victor Nolan,500331556,2023-08-22,Moodle / E- Learning,Artificial Intelligence and Data Science,3,Other,Not Relevant Complaint,victor.nolan@loyalistcollege.com
135,Amanda Hernandez,500175467,2021-06-08,Off Campus,Cyber Security,1,Inquiry,Not Relevant Complaint,amanda.hernandez@loyalistcollege.com
136,Jonathan Singh,500778350,2022-02-22,On Co-op/Placement,Global Business Management,1,Suggestion/ Feedback,Not Relevant Complaint,jonathan.singh@loyalistcollege.com
137,Sarah Aguilar,500415685,2023-02-28,Moodle / E- Learning,Global Project Management,2,Other,Not Resolved,sarah.aguilar@loyalistcollege.com
138,Renee Jones,500467309,2023-02-01,Applied Industry Project,Global Project Management,3,Other,In Progress,renee.jones@loyalistcollege.com
139,Sean Williams,500557251,2023-05-06,Moodle / E- Learning,Global Project Management,2,Inquiry,In Progress,sean.williams@loyalistcollege.com
140,Andrew Smith,500289077,2022-09-05,In Class,Business,3,Inquiry,Not Relevant Complaint,andrew.smith@loyalistcollege.com
141,Megan Kumar,500164007,2023-01-05,Moodle / E- Learning,Business,3,Other,Resolved,megan.kumar@loyalistcollege.com
142,Christopher Hernandez,500628101,2022-02-17,Moodle / E- Learning,Business,3,Suggestion/ Feedback,In Progress,christopher.hernandez@loyalistcollege.com
143,Tracy Wagner,500589822,2021-10-09,On Co-op/Placement,Computer Systems Technician,3,Suggestion/ Feedback,Not Resolved,tracy.wagner@loyalistcollege.com
144,Kathryn Berry,500141291,2021-12-23,Applied Industry Project,Business,4,Other,In Progress,kathryn.berry@loyalistcollege.com
145,Renee Chang,500725459,2023-04-21,On Campus,Cyber Security,2,Inquiry,In Progress,renee.chang@loyalistcollege.com
146,Vicki Sharma,500205823,2022-07-20,Off Campus,Business Sales and Marketing,4,Lost and Found,Not Resolved,vicki.sharma@loyalistcollege.com
147,Susan Harris,500833293,2021-09-05,Applied Industry Project,Global Business Management,2,Inquiry,Not Relevant Complaint,susan.harris@loyalistcollege.com
148,Linda Petersen,500510282,2022-04-15,Moodle / E- Learning,Computer Systems Technician,1,Suggestion/ Feedback,Not Resolved,linda.petersen@loyalistcollege.com
149,Dr. James Willis,500309039,2023-08-04,Moodle / E- Learning,Global Project Management,2,Lost and Found,Not Resolved,dr..james.willis@loyalistcollege.com
150,Rebecca Sandoval,500372769,2021-08-12,In Class,Quality Engineering Management,1,Lost and Found,Resolved,rebecca.sandoval@loyalistcollege.com
151,Aaron Reddy,500475972,2022-12-11,On Co-op/Placement,Business,3,Inquiry,Resolved,aaron.reddy@loyalistcollege.com
152,Jonathon Scott,500867136,2021-04-17,On Campus,Global Business Management,1,Suggestion/ Feedback,Resolved,jonathon.scott@loyalistcollege.com
153,Scott Hahn,500593057,2021-04-17,In Class,Hospitality Management,2,Lost and Found,Not Relevant Complaint,scott.hahn@loyalistcollege.com
154,Jason Patrick,500979049,2023-01-13,Off Campus,Cyber Security,4,Suggestion/ Feedback,Not Relevant Complaint,jason.patrick@loyalistcollege.com
155,Martin Anderson,500697445,2022-09-03,Off Campus,Global Business Management,2,Inquiry,Resolved,martin.anderson@loyalistcollege.com
156,Justin Patel,500277654,2023-05-30,Applied Industry Project,Artificial Intelligence and Data Science,4,Other,Not Relevant Complaint,justin.patel@loyalistcollege.com
157,Amy Johnson,500831588,2022-09-29,On Campus,Business Sales and Marketing,2,Other,Resolved,amy.johnson@loyalistcollege.com
158,John Boyer,500805314,2023-05-14,Off Campus,Computer Systems Technician,3,Inquiry,In Progress,john.boyer@loyalistcollege.com
159,Megan Hernandez,500313295,2021-05-24,Applied Industry Project,Global Project Management,2,Other,Not Resolved,megan.hernandez@loyalistcollege.com
160,Mrs. Lisa Hughes,500904623,2022-02-17,Moodle / E- Learning,Computer Systems Technician,4,Other,Not Relevant Complaint,mrs..lisa.hughes@loyalistcollege.com
161,Brandon Kaur,500160870,2023-01-20,In Class,Business Sales and Marketing,1,Inquiry,Resolved,brandon.kaur@loyalistcollege.com
162,Christian Johnson,500926957,2021-12-23,In Class,Cloud Computing,1,Inquiry,Resolved,christian.johnson@loyalistcollege.com
163,Lorraine Garcia,500809048,2021-06-22,In Class,Computer Software and Database Development,3,Other,Not Resolved,lorraine.garcia@loyalistcollege.com
164,Hannah Reyes,500265893,2022-04-06,Off Campus,Computer Software and Database Development,1,Lost and Found,In Progress,hannah.reyes@loyalistcollege.com
165,Katherine Ibarra,500986491,2021-08-08,Applied Industry Project,Global Business Management,1,Suggestion/ Feedback,Not Resolved,katherine.ibarra@loyalistcollege.com
166,Chelsea Patel,500269821,2022-07-13,In Class,Business,1,Inquiry,Not Relevant Complaint,chelsea.patel@loyalistcollege.com
167,Mark Morgan,500458940,2021-05-27,On Co-op/Placement,Hospitality Management,4,Suggestion/ Feedback,Not Resolved,mark.morgan@loyalistcollege.com
168,Michael Howell,500655193,2021-08-04,Moodle / E- Learning,Cloud Computing,3,Inquiry,Resolved,michael.howell@loyalistcollege.com
169,Bethany Buck,500362864,2021-03-30,On Co-op/Placement,Quality Engineering Management,4,Other,Not Relevant Complaint,bethany.buck@loyalistcollege.com
170,Sydney Brennan,500222906,2021-08-01,On Co-op/Placement,Hospitality Management,3,Inquiry,In Progress,sydney.brennan@loyalistcollege.com
171,Erin Singh,500725781,2023-07-01,On Campus,Cyber Security,4,Other,Not Resolved,erin.singh@loyalistcollege.com
172,Kelly Floyd,500563799,2023-05-18,On Campus,Computer Systems Technician,3,Inquiry,Not Resolved,kelly.floyd@loyalistcollege.com
173,Richard Wallace,500797938,2021-11-05,In Class,Wireless Information Networking,1,Other,Not Resolved,richard.wallace@loyalistcollege.com
174,Joy Clarke,500283311,2021-01-11,Moodle / E- Learning,Cloud Computing,2,Lost and Found,Resolved,joy.clarke@loyalistcollege.com
175,Andrew Villa,500113845,2021-02-21,On Co-op/Placement,Cyber Security,3,Inquiry,Not Resolved,andrew.villa@loyalistcollege.com
176,Todd Kaur,500594535,2022-09-21,Moodle / E- Learning,Global Project Management,1,Other,Resolved,todd.kaur@loyalistcollege.com
177,Theresa Estrada,500814374,2023-05-18,On Co-op/Placement,Hospitality Management,2,Suggestion/ Feedback,In Progress,theresa.estrada@loyalistcollege.com
178,Cindy Davis,500529816,2023-07-24,Off Campus,Quality Engineering Management,2,Inquiry,Resolved,cindy.davis@loyalistcollege.com
179,Stacy Chan,500696757,2023-02-01,On Co-op/Placement,Global Project Management,1,Lost and Found,Resolved,stacy.chan@loyalistcollege.com
180,Jennifer Torres,500633305,2021-06-16,Applied Industry Project,Hospitality Management,3,Lost and Found,Not Relevant Complaint,jennifer.torres@loyalistcollege.com
181,Daniel Reddy,500426574,2023-01-05,In Class,Supply Chain Management,2,Lost and Found,Not Relevant Complaint,daniel.reddy@loyalistcollege.com
182,Keith Livingston,500780456,2023-05-20,On Campus,Cloud Computing,1,Inquiry,Not Relevant Complaint,keith.livingston@loyalistcollege.com
183,Jennifer Garcia,500474500,2022-06-24,Off Campus,Cloud Computing,4,Inquiry,Not Resolved,jennifer.garcia@loyalistcollege.com
184,Morgan Johnson,500507520,2022-06-17,On Co-op/Placement,Computer Systems Technician,1,Other,In Progress,morgan.johnson@loyalistcollege.com
185,Michael Johnson,500978351,2021-06-01,Off Campus,Artificial Intelligence and Data Science,3,Inquiry,Not Relevant Complaint,michael.johnson@loyalistcollege.com
186,Samantha Gupta,500789560,2021-01-08,In Class,Business,4,Lost and Found,Resolved,samantha.gupta@loyalistcollege.com
187,Miranda Miller,500363121,2022-01-11,In Class,Quality Engineering Management,1,Other,In Progress,miranda.miller@loyalistcollege.com
188,Ian Johnson,500260864,2021-12-19,Off Campus,Cyber Security,2,Suggestion/ Feedback,Not Resolved,ian.johnson@loyalistcollege.com
189,Adam Mccann,500687831,2023-02-13,In Class,Wireless Information Networking,3,Suggestion/ Feedback,Not Relevant Complaint,adam.mccann@loyalistcollege.com
190,Andrea Barry,500824380,2022-04-29,In Class,Business,1,Other,In Progress,andrea.barry@loyalistcollege.com
191,Jared Kumar,500113040,2022-03-03,Off Campus,Business Sales and Marketing,4,Inquiry,Not Relevant Complaint,jared.kumar@loyalistcollege.com
192,Michael Mays,500580199,2021-12-15,On Campus,Wireless Information Networking,1,Inquiry,Resolved,michael.mays@loyalistcollege.com
193,Adam Wood,500877597,2021-01-14,Moodle / E- Learning,Global Business Management,4,Suggestion/ Feedback,Not Relevant Complaint,adam.wood@loyalistcollege.com
194,Larry Villarreal,500182914,2023-02-09,In Class,Computer Systems Technician,3,Suggestion/ Feedback,In Progress,larry.villarreal@loyalistcollege.com
195,Brian Cooper,500452234,2022-07-06,Off Campus,Computer Systems Technician,3,Other,Not Resolved,brian.cooper@loyalistcollege.com
